prov_id,year,track,score,rank,cum_count,source,fetched_at
henan,2025,phy,657,5758,302,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,656,6120,362,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,655,6441,321,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,654,6779,338,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,653,7144,365,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,652,7511,367,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,651,7914,403,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,650,8281,367,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,649,8687,406,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,648,9130,443,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,647,9537,407,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,646,9989,452,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
