分数,位次,省份,年份,科类
318,17743,宁夏,2025,历史类
317,17819,宁夏,2025,历史类
316,17903,宁夏,2025,历史类
315,17966,宁夏,2025,历史类
314,18045,宁夏,2025,历史类
313,18125,宁夏,2025,历史类
312,18191,宁夏,2025,历史类
311,18252,宁夏,2025,历史类
310,18327,宁夏,2025,历史类
309,18395,宁夏,2025,历史类
308,18451,宁夏,2025,历史类
307,18515,宁夏,2025,历史类
306,18571,宁夏,2025,历史类
305,18644,宁夏,2025,历史类
304,18707,宁夏,2025,历史类
303,18763,宁夏,2025,历史类
302,18820,宁夏,2025,历史类
301,18890,宁夏,2025,历史类
300,18955,宁夏,2025,历史类
299,19011,宁夏,2025,历史类
298,19075,宁夏,2025,历史类
297,19145,宁夏,2025,历史类
296,19191,宁夏,2025,历史类
295,19246,宁夏,2025,历史类
294,19301,宁夏,2025,历史类
293,19367,宁夏,2025,历史类
292,19423,宁夏,2025,历史类
291,19470,宁夏,2025,历史类
290,19529,宁夏,2025,历史类
289,19574,宁夏,2025,历史类
288,19615,宁夏,2025,历史类
287,19658,宁夏,2025,历史类
286,19705,宁夏,2025,历史类
285,19747,宁夏,2025,历史类
284,19796,宁夏,2025,历史类
283,19842,宁夏,2025,历史类
282,19879,宁夏,2025,历史类
281,19918,宁夏,2025,历史类
280,19972,宁夏,2025,历史类
279,20004,宁夏,2025,历史类
278,20041,宁夏,2025,历史类
277,20080,宁夏,2025,历史类
276,20126,宁夏,2025,历史类
275,20168,宁夏,2025,历史类
274,20199,宁夏,2025,历史类
273,20231,宁夏,2025,历史类
272,20274,宁夏,2025,历史类
271,20313,宁夏,2025,历史类
270,20342,宁夏,2025,历史类
269,20373,宁夏,2025,历史类
268,20397,宁夏,2025,历史类
267,20426,宁夏,2025,历史类
266,20449,宁夏,2025,历史类
265,20484,宁夏,2025,历史类
264,20512,宁夏,2025,历史类
263,20536,宁夏,2025,历史类
262,20555,宁夏,2025,历史类
261,20589,宁夏,2025,历史类
260,20615,宁夏,2025,历史类
259,20643,宁夏,2025,历史类
258,20666,宁夏,2025,历史类
257,20689,宁夏,2025,历史类
256,20711,宁夏,2025,历史类
255,20727,宁夏,2025,历史类
254,20753,宁夏,2025,历史类
253,20771,宁夏,2025,历史类
252,20790,宁夏,2025,历史类
251,20811,宁夏,2025,历史类
250,20830,宁夏,2025,历史类
249,20849,宁夏,2025,历史类
248,20863,宁夏,2025,历史类
247,20882,宁夏,2025,历史类
246,20912,宁夏,2025,历史类
245,20938,宁夏,2025,历史类
244,20956,宁夏,2025,历史类
243,20976,宁夏,2025,历史类
242,20996,宁夏,2025,历史类
241,21011,宁夏,2025,历史类
240,21033,宁夏,2025,历史类
239,21051,宁夏,2025,历史类
238,21068,宁夏,2025,历史类
237,21081,宁夏,2025,历史类
236,21091,宁夏,2025,历史类
235,21098,宁夏,2025,历史类
234,21109,宁夏,2025,历史类
233,21120,宁夏,2025,历史类
232,21129,宁夏,2025,历史类
231,21142,宁夏,2025,历史类
230,21158,宁夏,2025,历史类
229,21167,宁夏,2025,历史类
228,21174,宁夏,2025,历史类
227,21187,宁夏,2025,历史类
226,21195,宁夏,2025,历史类
225,21198,宁夏,2025,历史类
224,21203,宁夏,2025,历史类
223,21207,宁夏,2025,历史类
222,21210,宁夏,2025,历史类
221,21220,宁夏,2025,历史类
220,21225,宁夏,2025,历史类
219,21231,宁夏,2025,历史类
218,21234,宁夏,2025,历史类
217,21243,宁夏,2025,历史类
216,21249,宁夏,2025,历史类
215,21256,宁夏,2025,历史类
214,21259,宁夏,2025,历史类
213,21262,宁夏,2025,历史类
212,21267,宁夏,2025,历史类
211,21269,宁夏,2025,历史类
210,21272,宁夏,2025,历史类
209,21278,宁夏,2025,历史类
208,21286,宁夏,2025,历史类
207,21291,宁夏,2025,历史类
206,21299,宁夏,2025,历史类
205,21306,宁夏,2025,历史类
204,21308,宁夏,2025,历史类
203,21310,宁夏,2025,历史类
202,21311,宁夏,2025,历史类
201,21314,宁夏,2025,历史类
200,21315,宁夏,2025,历史类
199,21315,宁夏,2025,历史类
198,21320,宁夏,2025,历史类
197,21324,宁夏,2025,历史类
196,21326,宁夏,2025,历史类
195,21328,宁夏,2025,历史类
194,21330,宁夏,2025,历史类
193,21331,宁夏,2025,历史类
192,21333,宁夏,2025,历史类
191,21334,宁夏,2025,历史类
190,21338,宁夏,2025,历史类
189,21341,宁夏,2025,历史类
188,21343,宁夏,2025,历史类
187,21344,宁夏,2025,历史类
186,21348,宁夏,2025,历史类
185,21350,宁夏,2025,历史类
184,21352,宁夏,2025,历史类
183,21352,宁夏,2025,历史类
182,21352,宁夏,2025,历史类
181,21355,宁夏,2025,历史类
180,21357,宁夏,2025,历史类
179,21358,宁夏,2025,历史类
178,21360,宁夏,2025,历史类
177,21360,宁夏,2025,历史类
176,21360,宁夏,2025,历史类
175,21361,宁夏,2025,历史类
174,21362,宁夏,2025,历史类
173,21364,宁夏,2025,历史类
172,21366,宁夏,2025,历史类
171,21369,宁夏,2025,历史类
170,21371,宁夏,2025,历史类
169,21373,宁夏,2025,历史类
168,21375,宁夏,2025,历史类
167,21376,宁夏,2025,历史类
166,21380,宁夏,2025,历史类
165,21381,宁夏,2025,历史类
164,21383,宁夏,2025,历史类
163,21386,宁夏,2025,历史类
162,21388,宁夏,2025,历史类
161,21388,宁夏,2025,历史类
160,21389,宁夏,2025,历史类
159,21390,宁夏,2025,历史类
158,21393,宁夏,2025,历史类
157,21395,宁夏,2025,历史类
156,21395,宁夏,2025,历史类
155,21398,宁夏,2025,历史类
154,21399,宁夏,2025,历史类
153,21399,宁夏,2025,历史类
152,21401,宁夏,2025,历史类
151,21403,宁夏,2025,历史类
150,21406,宁夏,2025,历史类
641,104,宁夏,2025,物理类
640,113,宁夏,2025,物理类
639,116,宁夏,2025,物理类
638,120,宁夏,2025,物理类
637,125,宁夏,2025,物理类
636,133,宁夏,2025,物理类
635,138,宁夏,2025,物理类
634,145,宁夏,2025,物理类
633,151,宁夏,2025,物理类
632,156,宁夏,2025,物理类
631,163,宁夏,2025,物理类
630,176,宁夏,2025,物理类
629,186,宁夏,2025,物理类
628,202,宁夏,2025,物理类
627,212,宁夏,2025,物理类
626,221,宁夏,2025,物理类
625,229,宁夏,2025,物理类
624,235,宁夏,2025,物理类
623,246,宁夏,2025,物理类
622,259,宁夏,2025,物理类
621,263,宁夏,2025,物理类
620,271,宁夏,2025,物理类
619,284,宁夏,2025,物理类
618,301,宁夏,2025,物理类
617,325,宁夏,2025,物理类
616,336,宁夏,2025,物理类
615,350,宁夏,2025,物理类
614,371,宁夏,2025,物理类
613,384,宁夏,2025,物理类
612,396,宁夏,2025,物理类
611,409,宁夏,2025,物理类
610,426,宁夏,2025,物理类
609,449,宁夏,2025,物理类
608,467,宁夏,2025,物理类
607,492,宁夏,2025,物理类
606,508,宁夏,2025,物理类
605,534,宁夏,2025,物理类
604,551,宁夏,2025,物理类
603,568,宁夏,2025,物理类
602,583,宁夏,2025,物理类
601,597,宁夏,2025,物理类
600,613,宁夏,2025,物理类
599,637,宁夏,2025,物理类
598,663,宁夏,2025,物理类
597,682,宁夏,2025,物理类
596,712,宁夏,2025,物理类
595,737,宁夏,2025,物理类
594,770,宁夏,2025,物理类
593,797,宁夏,2025,物理类
592,826,宁夏,2025,物理类
591,857,宁夏,2025,物理类
590,881,宁夏,2025,物理类
589,913,宁夏,2025,物理类
588,938,宁夏,2025,物理类
587,982,宁夏,2025,物理类
586,1005,宁夏,2025,物理类
585,1034,宁夏,2025,物理类
584,1066,宁夏,2025,物理类
583,1096,宁夏,2025,物理类
582,1133,宁夏,2025,物理类
581,1184,宁夏,2025,物理类
580,1217,宁夏,2025,物理类
579,1262,宁夏,2025,物理类
578,1303,宁夏,2025,物理类
577,1351,宁夏,2025,物理类
576,1394,宁夏,2025,物理类
575,1436,宁夏,2025,物理类
574,1472,宁夏,2025,物理类
573,1513,宁夏,2025,物理类
572,1563,宁夏,2025,物理类
571,1612,宁夏,2025,物理类
570,1656,宁夏,2025,物理类
569,1714,宁夏,2025,物理类
568,1754,宁夏,2025,物理类
567,1794,宁夏,2025,物理类
566,1835,宁夏,2025,物理类
565,1887,宁夏,2025,物理类
564,1933,宁夏,2025,物理类
563,1994,宁夏,2025,物理类
562,2038,宁夏,2025,物理类
561,2091,宁夏,2025,物理类
560,2152,宁夏,2025,物理类
559,2204,宁夏,2025,物理类
558,2263,宁夏,2025,物理类
557,2331,宁夏,2025,物理类
556,2401,宁夏,2025,物理类
555,2448,宁夏,2025,物理类
554,2493,宁夏,2025,物理类
553,2553,宁夏,2025,物理类
552,2608,宁夏,2025,物理类
551,2670,宁夏,2025,物理类
550,2743,宁夏,2025,物理类
549,2821,宁夏,2025,物理类
548,2876,宁夏,2025,物理类
547,2939,宁夏,2025,物理类
546,2999,宁夏,2025,物理类
545,3072,宁夏,2025,物理类
544,3134,宁夏,2025,物理类
543,3199,宁夏,2025,物理类
542,3265,宁夏,2025,物理类
541,3342,宁夏,2025,物理类
540,3409,宁夏,2025,物理类
539,3475,宁夏,2025,物理类
538,3559,宁夏,2025,物理类
537,3633,宁夏,2025,物理类
536,3701,宁夏,2025,物理类
535,3774,宁夏,2025,物理类
534,3844,宁夏,2025,物理类
533,3926,宁夏,2025,物理类
532,3997,宁夏,2025,物理类
531,4082,宁夏,2025,物理类
530,4181,宁夏,2025,物理类
529,4265,宁夏,2025,物理类
528,4355,宁夏,2025,物理类
527,4435,宁夏,2025,物理类
526,4529,宁夏,2025,物理类
525,4613,宁夏,2025,物理类
524,4704,宁夏,2025,物理类
523,4775,宁夏,2025,物理类
522,4866,宁夏,2025,物理类
521,4947,宁夏,2025,物理类
520,5043,宁夏,2025,物理类
519,5133,宁夏,2025,物理类
518,5219,宁夏,2025,物理类
517,5306,宁夏,2025,物理类
516,5404,宁夏,2025,物理类
515,5535,宁夏,2025,物理类
514,5632,宁夏,2025,物理类
513,5750,宁夏,2025,物理类
512,5853,宁夏,2025,物理类
511,5950,宁夏,2025,物理类
510,6058,宁夏,2025,物理类
509,6161,宁夏,2025,物理类
508,6272,宁夏,2025,物理类
507,6378,宁夏,2025,物理类
506,6482,宁夏,2025,物理类
505,6589,宁夏,2025,物理类
504,6715,宁夏,2025,物理类
503,6817,宁夏,2025,物理类
502,6944,宁夏,2025,物理类
501,7060,宁夏,2025,物理类
500,7185,宁夏,2025,物理类
499,7300,宁夏,2025,物理类
498,7385,宁夏,2025,物理类
497,7490,宁夏,2025,物理类
496,7595,宁夏,2025,物理类
495,7705,宁夏,2025,物理类
494,7799,宁夏,2025,物理类
493,7938,宁夏,2025,物理类
492,8062,宁夏,2025,物理类
491,8208,宁夏,2025,物理类
490,8314,宁夏,2025,物理类
489,8430,宁夏,2025,物理类
488,8559,宁夏,2025,物理类
487,8674,宁夏,2025,物理类
486,8807,宁夏,2025,物理类
485,8933,宁夏,2025,物理类
484,9067,宁夏,2025,物理类
483,9186,宁夏,2025,物理类
482,9318,宁夏,2025,物理类
481,9464,宁夏,2025,物理类
480,9603,宁夏,2025,物理类
479,9765,宁夏,2025,物理类
478,9903,宁夏,2025,物理类
477,10037,宁夏,2025,物理类
476,10188,宁夏,2025,物理类
475,10345,宁夏,2025,物理类
474,10484,宁夏,2025,物理类
473,10636,宁夏,2025,物理类
472,10789,宁夏,2025,物理类
471,10935,宁夏,2025,物理类
470,11084,宁夏,2025,物理类
469,11235,宁夏,2025,物理类
468,11405,宁夏,2025,物理类
467,11545,宁夏,2025,物理类
466,11701,宁夏,2025,物理类
465,11860,宁夏,2025,物理类
464,12002,宁夏,2025,物理类
463,12162,宁夏,2025,物理类
462,12317,宁夏,2025,物理类
461,12474,宁夏,2025,物理类
460,12659,宁夏,2025,物理类
459,12834,宁夏,2025,物理类
458,13026,宁夏,2025,物理类
457,13186,宁夏,2025,物理类
456,13372,宁夏,2025,物理类
455,13550,宁夏,2025,物理类
454,13700,宁夏,2025,物理类
453,13875,宁夏,2025,物理类
452,14048,宁夏,2025,物理类
451,14214,宁夏,2025,物理类
450,14421,宁夏,2025,物理类
449,14615,宁夏,2025,物理类
448,14793,宁夏,2025,物理类
447,14962,宁夏,2025,物理类
446,15162,宁夏,2025,物理类
445,15352,宁夏,2025,物理类
444,15533,宁夏,2025,物理类
443,15726,宁夏,2025,物理类
442,15926,宁夏,2025,物理类
441,16119,宁夏,2025,物理类
440,16308,宁夏,2025,物理类
439,16511,宁夏,2025,物理类
438,16717,宁夏,2025,物理类
437,16897,宁夏,2025,物理类
436,17102,宁夏,2025,物理类
435,17304,宁夏,2025,物理类
434,17511,宁夏,2025,物理类
433,17706,宁夏,2025,物理类
432,17893,宁夏,2025,物理类
431,18072,宁夏,2025,物理类
430,18286,宁夏,2025,物理类
429,18498,宁夏,2025,物理类
428,18721,宁夏,2025,物理类
427,18910,宁夏,2025,物理类
426,19117,宁夏,2025,物理类
425,19312,宁夏,2025,物理类
424,19510,宁夏,2025,物理类
423,19720,宁夏,2025,物理类
422,19930,宁夏,2025,物理类
421,20127,宁夏,2025,物理类
420,20337,宁夏,2025,物理类
419,20535,宁夏,2025,物理类
418,20720,宁夏,2025,物理类
417,20929,宁夏,2025,物理类
416,21119,宁夏,2025,物理类
415,21343,宁夏,2025,物理类
414,21548,宁夏,2025,物理类
413,21755,宁夏,2025,物理类
412,21957,宁夏,2025,物理类
411,22162,宁夏,2025,物理类
410,22375,宁夏,2025,物理类
409,22577,宁夏,2025,物理类
408,22765,宁夏,2025,物理类
407,22991,宁夏,2025,物理类
406,23197,宁夏,2025,物理类
405,23400,宁夏,2025,物理类
404,23603,宁夏,2025,物理类
403,23830,宁夏,2025,物理类
402,24043,宁夏,2025,物理类
401,24241,宁夏,2025,物理类
400,24449,宁夏,2025,物理类
399,24680,宁夏,2025,物理类
398,24887,宁夏,2025,物理类
397,25112,宁夏,2025,物理类
396,25296,宁夏,2025,物理类
395,25496,宁夏,2025,物理类
394,25692,宁夏,2025,物理类
393,25884,宁夏,2025,物理类
392,26102,宁夏,2025,物理类
391,26299,宁夏,2025,物理类
390,26476,宁夏,2025,物理类
389,26664,宁夏,2025,物理类
388,26857,宁夏,2025,物理类
387,27069,宁夏,2025,物理类
386,27258,宁夏,2025,物理类
385,27469,宁夏,2025,物理类
384,27683,宁夏,2025,物理类
383,27877,宁夏,2025,物理类
382,28063,宁夏,2025,物理类
381,28231,宁夏,2025,物理类
380,28434,宁夏,2025,物理类
379,28644,宁夏,2025,物理类
378,28847,宁夏,2025,物理类
377,29045,宁夏,2025,物理类
376,29248,宁夏,2025,物理类
375,29437,宁夏,2025,物理类
374,29629,宁夏,2025,物理类
373,29828,宁夏,2025,物理类
372,30025,宁夏,2025,物理类
371,30223,宁夏,2025,物理类
370,30398,宁夏,2025,物理类
369,30563,宁夏,2025,物理类
368,30757,宁夏,2025,物理类
367,30916,宁夏,2025,物理类
366,31079,宁夏,2025,物理类
365,31244,宁夏,2025,物理类
364,31431,宁夏,2025,物理类
363,31620,宁夏,2025,物理类
362,31817,宁夏,2025,物理类
361,31987,宁夏,2025,物理类
360,32145,宁夏,2025,物理类
359,32329,宁夏,2025,物理类
358,32514,宁夏,2025,物理类
357,32713,宁夏,2025,物理类
356,32883,宁夏,2025,物理类
355,33039,宁夏,2025,物理类
354,33216,宁夏,2025,物理类
353,33393,宁夏,2025,物理类
352,33562,宁夏,2025,物理类
351,33711,宁夏,2025,物理类
350,33876,宁夏,2025,物理类
349,34032,宁夏,2025,物理类
348,34206,宁夏,2025,物理类
347,34379,宁夏,2025,物理类
346,34558,宁夏,2025,物理类
345,34710,宁夏,2025,物理类
344,34871,宁夏,2025,物理类
343,35038,宁夏,2025,物理类
342,35189,宁夏,2025,物理类
341,35321,宁夏,2025,物理类
340,35462,宁夏,2025,物理类
339,35606,宁夏,2025,物理类
338,35742,宁夏,2025,物理类
337,35894,宁夏,2025,物理类
336,36053,宁夏,2025,物理类
335,36180,宁夏,2025,物理类
334,36327,宁夏,2025,物理类
333,36478,宁夏,2025,物理类
332,36629,宁夏,2025,物理类
331,36778,宁夏,2025,物理类
330,36924,宁夏,2025,物理类
329,37069,宁夏,2025,物理类
328,37215,宁夏,2025,物理类
327,37334,宁夏,2025,物理类
326,37474,宁夏,2025,物理类
325,37628,宁夏,2025,物理类
324,37766,宁夏,2025,物理类
323,37910,宁夏,2025,物理类
322,38044,宁夏,2025,物理类
321,38190,宁夏,2025,物理类
320,38302,宁夏,2025,物理类
319,38426,宁夏,2025,物理类
318,38556,宁夏,2025,物理类
317,38686,宁夏,2025,物理类
316,38790,宁夏,2025,物理类
315,38902,宁夏,2025,物理类
314,39017,宁夏,2025,物理类
313,39137,宁夏,2025,物理类
312,39248,宁夏,2025,物理类
311,39360,宁夏,2025,物理类
310,39476,宁夏,2025,物理类
309,39587,宁夏,2025,物理类
308,39693,宁夏,2025,物理类
307,39803,宁夏,2025,物理类
306,39886,宁夏,2025,物理类
305,39991,宁夏,2025,物理类
304,40102,宁夏,2025,物理类
303,40203,宁夏,2025,物理类
302,40284,宁夏,2025,物理类
301,40375,宁夏,2025,物理类
300,40478,宁夏,2025,物理类
299,40574,宁夏,2025,物理类
298,40664,宁夏,2025,物理类
297,40754,宁夏,2025,物理类
296,40852,宁夏,2025,物理类
295,40954,宁夏,2025,物理类
294,41055,宁夏,2025,物理类
293,41146,宁夏,2025,物理类
292,41234,宁夏,2025,物理类
291,41318,宁夏,2025,物理类
290,41399,宁夏,2025,物理类
289,41482,宁夏,2025,物理类
288,41555,宁夏,2025,物理类
287,41636,宁夏,2025,物理类
286,41718,宁夏,2025,物理类
285,41796,宁夏,2025,物理类
284,41871,宁夏,2025,物理类
283,41947,宁夏,2025,物理类
282,42007,宁夏,2025,物理类
281,42078,宁夏,2025,物理类
